id,brand,category,department,retail_price
13842,MG,Accessories,Women,6.25
13928,MG,Accessories,Women,5.9499998092651367
14115,MG,Accessories,Women,10.989999771118164
14157,MG,Accessories,Women,10.989999771118164
14273,MG,Accessories,Women,15.989999771118164
15674,MG,Plus,Women,6.25
15816,MG,Plus,Women,5.9499998092651367
28646,MG,Accessories,Men,19.989999771118164
28670,MG,Accessories,Men,6.179999828338623
28714,MG,Accessories,Men,6.25
28779,MG,Accessories,Men,20.989999771118164
28904,MG,Accessories,Men,15.989999771118164
29007,MG,Accessories,Men,26.989999771118164
12777,MW,Swim,Women,44.9900016784668
12810,MW,Swim,Women,44.9900016784668
12812,MW,Swim,Women,44.9900016784668
12853,MW,Swim,Women,44.9900016784668
12900,MW,Swim,Women,39.9900016784668
13247,MW,Swim,Women,44.9900016784668
13477,MW,Swim,Women,54.9900016784668
13574,MW,Swim,Women,44.9900016784668
2848,2XU,Active,Women,44.950000762939446
3039,2XU,Active,Women,49.950000762939446
9041,2XU,Socks & Hosiery,Women,49.950000762939446
13122,2XU,Swim,Women,150.41000366210938
18147,2XU,Active,Men,40.450000762939446
18363,2XU,Active,Men,159.94000244140625
18394,2XU,Active,Men,49.950000762939446
18465,2XU,Active,Men,60.0
18593,2XU,Active,Men,43.150001525878906
18607,2XU,Active,Men,79.989997863769531
18644,2XU,Active,Men,107.51999664306641
18664,2XU,Active,Men,59.950000762939446
18708,2XU,Active,Men,111.22000122070312
18796,2XU,Active,Men,84.05999755859375
24644,2XU,Socks,Men,49.950000762939446
24674,2XU,Socks,Men,60.0
24731,2XU,Socks,Men,43.150001525878906
27569,2XU,Swim,Men,150.41000366210938
3206,AGB,Dresses,Women,79.0
3660,AGB,Dresses,Women,50.389999389648438
3682,AGB,Dresses,Women,45.349998474121087
3730,AGB,Dresses,Women,89.0
3943,AGB,Dresses,Women,53.200000762939446
5353,AGB,Pants & Capris,Women,42.0
5433,BKE,Pants & Capris,Women,20.209999084472656
9035,HDE,Socks & Hosiery,Women,3.9500000476837158
14170,HDE,Accessories,Women,2.9500000476837158
28411,HDE,Accessories,Men,4.880000114440918
28548,HDE,Accessories,Men,2.9500000476837158
28873,HDE,Accessories,Men,3.9500000476837158
29033,HDE,Accessories,Men,3.9500000476837158
25038,Huf,Socks,Men,11.949999809265137
17159,ITC,Fashion Hoodies & Sweatshirts,Men,54.9900016784668
5357,Ice,Pants & Capris,Women,27.989999771118164
5440,Ice,Pants & Capris,Women,27.989999771118164
5474,Ice,Pants & Capris,Women,24.989999771118164
7234,Ice,Skirts,Women,24.989999771118164
7236,Ice,Skirts,Women,25.989999771118164
7246,Ice,Skirts,Women,23.989999771118164
7377,Ice,Skirts,Women,24.989999771118164
7448,Ice,Skirts,Women,24.989999771118164
7903,Ice,Blazers & Jackets,Women,30.989999771118164
8080,Ice,Suits,Women,57.9900016784668
8089,Ice,Suits,Women,75.989997863769531
8093,Ice,Suits,Women,21.989999771118164
8101,Ice,Suits,Women,13.989999771118164
8103,Ice,Suits,Women,66.989997863769531
8107,Ice,Suits,Women,55.9900016784668
8109,Ice,Suits,Women,63.9900016784668
8110,Ice,Suits,Women,16.989999771118164
8139,Ice,Suits,Women,95.989997863769517
8145,Ice,Suits,Women,75.989997863769531
8148,Ice,Suits,Women,71.989997863769531
8155,Ice,Suits,Women,66.989997863769531
8158,Ice,Suits,Women,25.989999771118164
8160,Ice,Suits,Women,25.989999771118164
8162,Ice,Suits,Women,16.989999771118164
8185,Ice,Suits,Women,16.989999771118164
8188,Ice,Suits,Women,55.9900016784668
8189,Ice,Suits,Women,33.9900016784668
8191,Ice,Suits,Women,71.989997863769531
8194,Ice,Suits,Women,25.989999771118164
8195,Ice,Suits,Women,66.989997863769531
8197,Ice,Suits,Women,25.989999771118164
8199,Ice,Suits,Women,26.989999771118164
8208,Ice,Suits,Women,25.989999771118164
8209,Ice,Suits,Women,16.989999771118164
70,LNA,Tops & Tees,Women,99.0
791,LNA,Sweaters,Women,99.0
2060,NLA,Fashion Hoodies & Sweatshirts,Women,14.0
1935,QSW,Fashion Hoodies & Sweatshirts,Women,128.0
1972,QSW,Fashion Hoodies & Sweatshirts,Women,84.0
2349,QSW,Fashion Hoodies & Sweatshirts,Women,84.0
6529,QSW,Shorts,Women,68.0
12746,TYR,Swim,Women,60.0
12750,TYR,Swim,Women,77.989997863769531
12757,TYR,Swim,Women,59.950000762939446
12762,TYR,Swim,Women,45.450000762939446
12768,TYR,Swim,Women,55.7599983215332
12794,TYR,Swim,Women,40.619998931884766
12803,TYR,Swim,Women,70.949996948242188
12807,TYR,Swim,Women,76.489997863769531
12815,TYR,Swim,Women,46.9900016784668
