date,channel,spend
2019-01-13,Display,0.15
2019-01-15,Search,1.2
2019-01-15,Search,0.6
2019-01-17,Search,0.6
2019-01-17,Search,0.6
2019-01-17,Search,0.6
2019-01-17,Search,0.6
2019-01-18,Search,0.6
2019-01-18,Search,0.6
2019-01-19,Search,0.6
2019-01-21,Search,1.7999999999999998
2019-01-21,Search,0.6
2019-01-21,Search,0.6
2019-01-21,Search,0.6
2019-01-21,Search,0.6
2019-01-22,Search,0.6
2019-01-23,Search,0.6
2019-01-23,Search,0.6
2019-01-24,Search,0.6
2019-01-25,Search,0.6
2019-01-25,Search,0.6
2019-01-27,Search,0.6
2019-01-30,Display,0.15
2019-01-31,Search,0.6
2019-02-02,Search,1.821951219512195
2019-02-03,Search,0.6073170731707317
2019-02-04,Search,1.2146341463414634
2019-02-04,Search,0.6073170731707317
2019-02-05,Search,0.6073170731707317
2019-02-05,Search,1.2146341463414634
2019-02-06,Search,0.6073170731707317
2019-02-06,Search,1.821951219512195
2019-02-07,Search,1.2146341463414634
2019-02-08,Search,0.6073170731707317
2019-02-09,Display,0.30609756097560975
2019-02-09,Search,0.6073170731707317
2019-02-10,Display,0.15304878048780488
2019-02-11,Search,0.6073170731707317
2019-02-11,Search,0.6073170731707317
2019-02-11,Search,0.6073170731707317
2019-02-12,Search,0.6073170731707317
2019-02-12,Display,0.15304878048780488
2019-02-12,Facebook,0.3067073170731707
2019-02-13,Email,0.03
2019-02-13,Search,0.6073170731707317
2019-02-14,Organic,0.0
2019-02-15,Display,0.15304878048780488
2019-02-15,Search,0.6073170731707317
2019-02-15,Organic,0.0
2019-02-15,Search,0.6073170731707317
2019-02-15,Search,0.6073170731707317
2019-02-17,Display,0.15304878048780488
2019-02-18,Organic,0.0
2019-02-18,Facebook,0.3067073170731707
2019-02-18,Facebook,0.3067073170731707
2019-02-19,Organic,0.0
2019-02-21,Facebook,0.3067073170731707
2019-02-21,Facebook,0.3067073170731707
2019-02-22,Organic,0.0
2019-02-24,Organic,0.0
2019-02-27,Search,0.6073170731707317
2019-02-28,Search,0.6073170731707317
2019-03-01,Search,0.6146341463414634
2019-03-02,Display,0.15609756097560976
2019-03-03,Search,0.6146341463414634
2019-03-03,Search,1.2292682926829268
2019-03-04,Search,0.6146341463414634
2019-03-04,Organic,0.0
2019-03-04,Search,0.6146341463414634
2019-03-04,Organic,0.0
2019-03-05,Search,1.2292682926829268
2019-03-05,Search,0.6146341463414634
2019-03-05,Search,0.6146341463414634
2019-03-05,Organic,0.0
2019-03-06,Search,0.6146341463414634
2019-03-06,Display,0.15609756097560976
2019-03-06,Search,0.6146341463414634
2019-03-06,Search,0.6146341463414634
2019-03-06,Organic,0.0
2019-03-06,Search,0.6146341463414634
2019-03-07,Search,0.6146341463414634
2019-03-07,Search,0.6146341463414634
2019-03-07,Search,1.2292682926829268
2019-03-08,Search,0.6146341463414634
2019-03-08,Facebook,0.31341463414634146
2019-03-09,Search,0.6146341463414634
2019-03-09,Search,1.84390243902439
2019-03-10,Search,1.84390243902439
2019-03-10,Search,0.6146341463414634
2019-03-10,Search,0.6146341463414634
2019-03-11,Search,0.6146341463414634
2019-03-11,Search,0.6146341463414634
2019-03-11,Search,0.6146341463414634
2019-03-11,Facebook,0.31341463414634146
2019-03-12,Search,0.6146341463414634
2019-03-13,Search,1.2292682926829268
2019-03-13,Organic,0.0
2019-03-13,Search,0.6146341463414634
2019-03-13,Organic,0.0
2019-03-13,Search,0.6146341463414634
2019-03-13,Search,1.2292682926829268
2019-03-13,Email,0.03
2019-03-13,Search,0.6146341463414634
2019-03-13,Search,0.6146341463414634
2019-03-14,Search,1.2292682926829268
2019-03-14,Organic,0.0
2019-03-14,Search,0.6146341463414634
2019-03-15,Search,0.6146341463414634
2019-03-15,Search,0.6146341463414634
2019-03-15,Search,0.6146341463414634
2019-03-15,Search,0.6146341463414634
2019-03-16,Organic,0.0
2019-03-16,Search,1.84390243902439
2019-03-17,Search,0.6146341463414634
2019-03-17,Search,0.6146341463414634
2019-03-17,Search,0.6146341463414634
2019-03-19,Facebook,0.31341463414634146
2019-03-19,Organic,0.0
2019-03-19,Organic,0.0
2019-03-20,Search,0.6146341463414634
2019-03-20,Search,0.6146341463414634
2019-03-21,Search,1.2292682926829268
2019-03-21,Organic,0.0
2019-03-21,Search,0.6146341463414634
2019-03-22,Search,1.2292682926829268
2019-03-22,Search,1.2292682926829268
2019-03-22,Search,0.6146341463414634
2019-03-22,Organic,0.0
2019-03-22,Search,0.6146341463414634
2019-03-22,Search,0.6146341463414634
2019-03-22,Search,0.6146341463414634
2019-03-22,Organic,0.0
2019-03-23,Search,0.6146341463414634
2019-03-23,Search,0.6146341463414634
2019-03-23,Facebook,0.31341463414634146
2019-03-23,Facebook,0.31341463414634146
2019-03-24,Facebook,0.31341463414634146
2019-03-24,Search,0.6146341463414634
2019-03-25,Search,0.6146341463414634
2019-03-25,Search,1.2292682926829268
2019-03-26,Search,1.2292682926829268
2019-03-26,Search,0.6146341463414634
2019-03-27,Search,1.2292682926829268
2019-03-27,Search,0.6146341463414634
2019-03-27,Search,1.2292682926829268
2019-03-27,Search,0.6146341463414634
2019-03-27,Search,0.6146341463414634
2019-03-27,Display,0.15609756097560976
2019-03-27,Search,0.6146341463414634
2019-03-30,Search,0.6146341463414634
2019-03-30,Organic,0.0
2019-03-30,Organic,0.0
2019-03-30,Search,0.6146341463414634
2019-03-31,Search,0.6146341463414634
2019-03-31,Organic,0.0
2019-03-31,Search,0.6146341463414634
2019-04-01,Search,0.6219512195121951
2019-04-01,Organic,0.0
2019-04-01,Organic,0.0
2019-04-01,Organic,0.0
2019-04-02,Organic,0.0
2019-04-02,Organic,0.0
2019-04-03,Search,0.6219512195121951
2019-04-05,Search,0.6219512195121951
2019-04-05,Email,0.03
2019-04-05,Organic,0.0
2019-04-05,Email,0.03
2019-04-05,Email,0.03
2019-04-06,Search,0.6219512195121951
2019-04-06,Facebook,0.3201219512195122
2019-04-06,Search,0.6219512195121951
2019-04-07,Search,0.6219512195121951
2019-04-07,Facebook,0.3201219512195122
2019-04-07,Search,0.6219512195121951
2019-04-07,Search,0.6219512195121951
2019-04-08,Email,0.03
2019-04-08,Display,0.15914634146341464
2019-04-09,Organic,0.0
2019-04-10,Organic,0.0
2019-04-11,Search,0.6219512195121951
2019-04-11,Search,1.2439024390243902
2019-04-11,Search,0.6219512195121951
2019-04-11,Organic,0.0
2019-04-12,Search,1.2439024390243902
2019-04-12,Organic,0.0
2019-04-12,Search,0.6219512195121951
2019-04-12,Search,0.6219512195121951
2019-04-12,Search,2.4878048780487805
2019-04-13,Search,0.6219512195121951
2019-04-13,Organic,0.0
2019-04-13,Search,0.6219512195121951
2019-04-13,Search,0.6219512195121951
2019-04-13,Search,0.6219512195121951
2019-04-13,Organic,0.0
2019-04-13,Organic,0.0
2019-04-14,Search,0.6219512195121951
2019-04-15,Search,0.6219512195121951
2019-04-15,Email,0.06
2019-04-15,Search,0.6219512195121951
2019-04-15,Search,0.6219512195121951
2019-04-16,Search,0.6219512195121951
2019-04-16,Search,1.2439024390243902
2019-04-17,Search,0.6219512195121951
2019-04-17,Email,0.03
2019-04-18,Search,0.6219512195121951
2019-04-19,Search,0.6219512195121951
2019-04-19,Search,0.6219512195121951
2019-04-19,Email,0.03
2019-04-19,Search,0.6219512195121951
2019-04-19,Search,1.2439024390243902
2019-04-20,Search,0.6219512195121951
2019-04-20,Email,0.06
2019-04-20,Search,0.6219512195121951
2019-04-20,Search,0.6219512195121951
2019-04-20,Email,0.06
2019-04-21,Organic,0.0
2019-04-21,Search,0.6219512195121951
2019-04-21,Search,0.6219512195121951
2019-04-22,Search,0.6219512195121951
2019-04-22,Search,0.6219512195121951
2019-04-22,Search,0.6219512195121951
2019-04-22,Email,0.03
2019-04-22,Email,0.06
2019-04-23,Search,0.6219512195121951
2019-04-23,Search,0.6219512195121951
2019-04-23,Search,0.6219512195121951
2019-04-23,Search,0.6219512195121951
2019-04-24,Email,0.03
2019-04-24,Display,0.15914634146341464
2019-04-25,Search,0.6219512195121951
2019-04-25,Search,0.6219512195121951
2019-04-25,Facebook,0.3201219512195122
2019-04-26,Search,0.6219512195121951
2019-04-26,Search,0.6219512195121951
2019-04-26,Search,0.6219512195121951
2019-04-26,Search,0.6219512195121951
2019-04-27,Search,0.6219512195121951
2019-04-28,Search,0.6219512195121951
2019-04-28,Search,0.6219512195121951
2019-04-28,Organic,0.0
2019-04-28,Search,0.6219512195121951
2019-04-29,Email,0.03
2019-04-29,Search,1.2439024390243902
2019-04-29,Search,1.2439024390243902
2019-04-29,Search,1.8658536585365852
2019-04-29,Organic,0.0
2019-04-30,Search,0.6219512195121951
2019-04-30,Search,0.6219512195121951
2019-04-30,Email,0.03
2019-04-30,Search,0.6219512195121951
2019-05-01,Search,1.2585365853658537
2019-05-01,Display,0.16219512195121952
2019-05-01,Search,0.6292682926829268
2019-05-01,Email,0.03
2019-05-02,Email,0.03
2019-05-03,Search,0.6292682926829268
2019-05-03,Search,0.6292682926829268
2019-05-03,Organic,0.0
2019-05-03,Search,0.6292682926829268
2019-05-03,Organic,0.0
2019-05-03,Email,0.03
2019-05-03,Organic,0.0
2019-05-04,Search,0.6292682926829268
2019-05-04,Organic,0.0
2019-05-05,Search,0.6292682926829268
2019-05-05,Search,1.2585365853658537
2019-05-05,Email,0.03
2019-05-06,Search,0.6292682926829268
2019-05-06,Search,0.6292682926829268
2019-05-06,Search,0.6292682926829268
2019-05-07,Display,0.16219512195121952
2019-05-07,Search,0.6292682926829268
2019-05-07,Organic,0.0
2019-05-07,Display,0.16219512195121952
2019-05-07,Search,0.6292682926829268
2019-05-07,Search,1.2585365853658537
2019-05-07,Search,0.6292682926829268
2019-05-08,Search,0.6292682926829268
2019-05-08,Search,0.6292682926829268
2019-05-08,Search,0.6292682926829268
