order_id,date,country,device,channel,revenue
1,2025-01-01,FR,desktop,Referral,70.76
2,2025-01-01,FR,desktop,Social,67.92
3,2025-01-01,FR,desktop,Social,41.46
4,2025-01-01,FR,mobile,Paid,34.06
5,2025-01-01,FR,mobile,Paid,69.32
6,2025-01-01,FR,mobile,Paid,56.65
7,2025-01-01,FR,mobile,Organic,42.87
8,2025-01-01,FR,mobile,Organic,42.22
9,2025-01-01,FR,mobile,Organic,91.14
10,2025-01-01,FR,mobile,Email,100.02
11,2025-01-01,DE,desktop,Paid,31.03
12,2025-01-01,DE,desktop,Paid,75.94
13,2025-01-01,DE,desktop,Organic,44.14
14,2025-01-01,DE,desktop,Email,43.49
15,2025-01-01,DE,mobile,Paid,50.05
16,2025-01-01,DE,mobile,Organic,86.09
17,2025-01-01,DE,mobile,Email,49.96
18,2025-01-01,ES,desktop,Paid,51.54
19,2025-01-01,ES,desktop,Paid,51.14
20,2025-01-01,ES,desktop,Organic,84.2
21,2025-01-01,ES,desktop,Organic,72.96
22,2025-01-01,ES,mobile,Paid,80.26
23,2025-01-01,ES,mobile,Paid,68.93
24,2025-01-01,ES,mobile,Paid,99.87
25,2025-01-01,ES,mobile,Organic,68.67
26,2025-01-01,ES,mobile,Email,75.59
27,2025-01-01,ES,mobile,Referral,52.21
28,2025-01-01,IT,desktop,Paid,39.51
29,2025-01-01,IT,desktop,Organic,64.91
30,2025-01-01,IT,desktop,Organic,49.64
31,2025-01-01,IT,desktop,Organic,48.54
32,2025-01-01,IT,desktop,Email,53.31
33,2025-01-01,IT,mobile,Paid,60.47
34,2025-01-01,IT,mobile,Organic,58.85
35,2025-01-01,IT,mobile,Email,68.15
36,2025-01-01,UK,desktop,Paid,63.28
37,2025-01-01,UK,mobile,Paid,33.84
38,2025-01-01,UK,mobile,Organic,62.97
39,2025-01-01,UK,mobile,Referral,146.04
40,2025-01-02,FR,desktop,Organic,50.71
41,2025-01-02,FR,desktop,Referral,68.79
42,2025-01-02,FR,mobile,Paid,36.04
43,2025-01-02,FR,mobile,Paid,35.65
44,2025-01-02,FR,mobile,Organic,99.35
45,2025-01-02,FR,mobile,Referral,68.14
46,2025-01-02,DE,desktop,Paid,69.14
47,2025-01-02,DE,desktop,Organic,51.36
48,2025-01-02,DE,desktop,Organic,96.93
49,2025-01-02,DE,desktop,Organic,64.49
50,2025-01-02,DE,desktop,Referral,48.92
51,2025-01-02,DE,mobile,Paid,43.96
52,2025-01-02,DE,mobile,Organic,50.19
53,2025-01-02,DE,mobile,Organic,48.81
54,2025-01-02,ES,desktop,Paid,29.36
55,2025-01-02,ES,desktop,Paid,72.41
56,2025-01-02,ES,desktop,Organic,27.23
57,2025-01-02,ES,desktop,Organic,32.85
58,2025-01-02,ES,mobile,Paid,53.43
59,2025-01-02,ES,mobile,Paid,21.83
60,2025-01-02,ES,mobile,Paid,37.6
61,2025-01-02,ES,mobile,Paid,41.09
62,2025-01-02,ES,mobile,Organic,52.74
63,2025-01-02,IT,desktop,Paid,40.65
64,2025-01-02,IT,desktop,Paid,48.01
65,2025-01-02,IT,desktop,Paid,51.28
66,2025-01-02,IT,desktop,Social,132.23
67,2025-01-02,IT,mobile,Paid,58.7
68,2025-01-02,IT,mobile,Organic,80.39
69,2025-01-02,IT,mobile,Email,48.87
70,2025-01-02,IT,mobile,Social,56.56
71,2025-01-02,IT,mobile,Social,63.58
72,2025-01-02,UK,desktop,Paid,58.56
73,2025-01-02,UK,desktop,Organic,35.99
74,2025-01-02,UK,desktop,Organic,66.37
75,2025-01-02,UK,desktop,Email,48.66
76,2025-01-02,UK,desktop,Email,38.49
77,2025-01-02,UK,desktop,Social,113.07
78,2025-01-02,UK,mobile,Paid,96.91
79,2025-01-02,UK,mobile,Organic,37.96
80,2025-01-02,UK,mobile,Organic,89.45
81,2025-01-02,UK,mobile,Organic,58.49
82,2025-01-02,UK,mobile,Organic,61.25
83,2025-01-02,UK,mobile,Email,41.01
84,2025-01-02,UK,mobile,Email,68.68
85,2025-01-02,UK,mobile,Social,80.75
86,2025-01-03,FR,desktop,Paid,64.67
87,2025-01-03,FR,desktop,Organic,56.9
88,2025-01-03,FR,desktop,Organic,45.38
89,2025-01-03,FR,desktop,Referral,69.08
90,2025-01-03,FR,mobile,Paid,38.63
91,2025-01-03,FR,mobile,Organic,68.0
92,2025-01-03,FR,mobile,Organic,86.09
93,2025-01-03,FR,mobile,Email,37.51
94,2025-01-03,DE,desktop,Organic,60.97
95,2025-01-03,DE,desktop,Organic,40.77
96,2025-01-03,DE,desktop,Email,60.28
97,2025-01-03,DE,desktop,Email,41.9
98,2025-01-03,DE,mobile,Paid,83.99
99,2025-01-03,DE,mobile,Paid,63.61
100,2025-01-03,DE,mobile,Organic,47.48
101,2025-01-03,DE,mobile,Organic,32.93
102,2025-01-03,DE,mobile,Social,59.98
103,2025-01-03,ES,desktop,Organic,34.49
104,2025-01-03,ES,desktop,Organic,52.96
105,2025-01-03,ES,desktop,Email,58.25
106,2025-01-03,ES,desktop,Email,58.33
107,2025-01-03,ES,desktop,Referral,40.68
108,2025-01-03,ES,mobile,Organic,64.85
109,2025-01-03,ES,mobile,Organic,34.32
110,2025-01-03,ES,mobile,Organic,71.41
111,2025-01-03,ES,mobile,Social,62.7
112,2025-01-03,ES,mobile,Social,61.53
113,2025-01-03,IT,desktop,Paid,65.09
114,2025-01-03,IT,mobile,Email,50.01
115,2025-01-03,IT,mobile,Social,90.96
116,2025-01-03,UK,desktop,Paid,40.92
117,2025-01-03,UK,desktop,Paid,89.99
118,2025-01-03,UK,desktop,Paid,66.47
119,2025-01-03,UK,desktop,Organic,58.25
120,2025-01-03,UK,desktop,Organic,72.87
121,2025-01-03,UK,desktop,Social,45.74
122,2025-01-03,UK,mobile,Paid,42.96
123,2025-01-03,UK,mobile,Organic,30.67
124,2025-01-03,UK,mobile,Email,56.87
125,2025-01-04,FR,desktop,Paid,49.25
